# l = 2
# n = 3
# E = -0.05555537
# r	u(r)	R(r)	V(r)
0.00010000	0.00000000	0.00000000	-10000.00000000
0.00259999	0.00000000	0.00000006	-384.61612426
0.00509999	0.00000000	0.00000023	-196.07881584
0.00759998	0.00000000	0.00000052	-131.57920706
0.01009998	0.00000001	0.00000092	-99.01009705
0.01259997	0.00000002	0.00000143	-79.36523684
0.01509997	0.00000003	0.00000205	-66.22529714
0.01759996	0.00000005	0.00000278	-56.81829481
0.02009996	0.00000007	0.00000362	-49.75134279
0.02259995	0.00000010	0.00000457	-44.24787571
0.02509995	0.00000014	0.00000563	-39.84071681
0.02759994	0.00000019	0.00000681	-36.23195626
0.03009994	0.00000024	0.00000809	-33.22265759
0.03259993	0.00000031	0.00000948	-30.67490779
0.03509993	0.00000039	0.00001098	-28.49008531
0.03759992	0.00000047	0.00001259	-26.59579773
0.04009992	0.00000057	0.00001431	-24.93770561
0.04259991	0.00000069	0.00001613	-23.47422524
0.04509991	0.00000081	0.00001807	-22.17299325
0.04759990	0.00000096	0.00002011	-21.00844529
0.05009990	0.00000112	0.00002226	-19.96011968
0.05259989	0.00000129	0.00002451	-19.01144479
0.05509989	0.00000148	0.00002687	-18.14885656
0.05759988	0.00000169	0.00002934	-17.36114577
0.06009988	0.00000192	0.00003192	-16.63896833
0.06259987	0.00000217	0.00003460	-15.97447279
0.06509987	0.00000243	0.00003739	-15.36101378
0.06759986	0.00000272	0.00004028	-14.79292895
0.07009986	0.00000303	0.00004328	-14.26536373
0.07259985	0.00000337	0.00004639	-13.77413219
0.07509985	0.00000372	0.00004959	-13.31560582
0.07759984	0.00000411	0.00005291	-12.88662368
0.08009984	0.00000451	0.00005632	-12.48441944
0.08259983	0.00000494	0.00005984	-12.10656171
0.08509983	0.00000540	0.00006347	-11.75090479
0.08759982	0.00000589	0.00006720	-11.41554792
0.09009982	0.00000640	0.00007103	-11.09880131
0.09259981	0.00000694	0.00007496	-10.79915764
0.09509981	0.00000751	0.00007900	-10.51526812
0.09759980	0.00000811	0.00008314	-10.24592211
0.10009980	0.00000875	0.00008738	-9.99002995
0.10259979	0.00000941	0.00009172	-9.74660817
0.10509979	0.00001011	0.00009616	-9.51476687
0.10759978	0.00001084	0.00010071	-9.29369887
0.11009978	0.00001160	0.00010535	-9.08267028
0.11259977	0.00001240	0.00011010	-8.88101242
0.11509977	0.00001323	0.00011495	-8.68811467
0.11759976	0.00001410	0.00011990	-8.50341835
0.12009976	0.00001501	0.00012494	-8.32641131
0.12259975	0.00001595	0.00013009	-8.15662315
0.12509975	0.00001693	0.00013534	-7.99362109
0.12759974	0.00001795	0.00014068	-7.83700626
0.13009974	0.00001901	0.00014613	-7.68641044
0.13259973	0.00002011	0.00015167	-7.54149320
0.13509973	0.00002125	0.00015731	-7.40193929
0.13759972	0.00002244	0.00016305	-7.26745638
0.14009972	0.00002366	0.00016889	-7.13777301
0.14259971	0.00002493	0.00017483	-7.01263674
0.14509971	0.00002624	0.00018086	-6.89181253
0.14759970	0.00002760	0.00018699	-6.77508129
0.15009970	0.00002900	0.00019322	-6.66223850
0.15259969	0.00003045	0.00019954	-6.55309305
0.15509969	0.00003194	0.00020596	-6.44746614
0.15759968	0.00003349	0.00021248	-6.34519035
0.16009968	0.00003508	0.00021909	-6.24610867
0.16259967	0.00003671	0.00022580	-6.15007379
0.16509967	0.00003840	0.00023260	-6.05694730
0.16759966	0.00004014	0.00023950	-5.96659904
0.17009966	0.00004193	0.00024649	-5.87890652
0.17259965	0.00004377	0.00025358	-5.79375434
0.17509965	0.00004566	0.00026076	-5.71103369
0.17759964	0.00004760	0.00026804	-5.63064189
0.18009964	0.00004960	0.00027540	-5.55248195
0.18259963	0.00005165	0.00028287	-5.47646221
0.18509963	0.00005376	0.00029042	-5.40249594
0.18759962	0.00005592	0.00029807	-5.33050106
0.19009962	0.00005814	0.00030582	-5.26039978
0.19259961	0.00006041	0.00031365	-5.19211837
0.19509961	0.00006274	0.00032158	-5.12558687
0.19759960	0.00006513	0.00032960	-5.06073886
0.20009960	0.00006758	0.00033771	-4.99751124
0.20259959	0.00007008	0.00034591	-4.93584402
0.20509959	0.00007265	0.00035421	-4.87568015
0.20759958	0.00007527	0.00036259	-4.81696531
0.21009958	0.00007796	0.00037107	-4.75964778
0.21259957	0.00008071	0.00037963	-4.70367826
0.21509957	0.00008352	0.00038829	-4.64900976
0.21759956	0.00008640	0.00039704	-4.59559742
0.22009956	0.00008933	0.00040588	-4.54339845
0.22259955	0.00009233	0.00041480	-4.49237196
0.22509955	0.00009540	0.00042382	-4.44247889
0.22759954	0.00009853	0.00043292	-4.39368189
0.23009954	0.00010173	0.00044212	-4.34594524
0.23259953	0.00010500	0.00045140	-4.29923473
0.23509953	0.00010833	0.00046077	-4.25351765
0.23759952	0.00011173	0.00047023	-4.20876262
0.24009952	0.00011520	0.00047978	-4.16493961
0.24259951	0.00011873	0.00048942	-4.12201978
0.24509951	0.00012234	0.00049914	-4.07997552
0.24759950	0.00012602	0.00050895	-4.03878029
0.25009950	0.00012976	0.00051885	-3.99840863
0.25259949	0.00013358	0.00052883	-3.95883610
0.25509949	0.00013747	0.00053890	-3.92003920
0.25759948	0.00014144	0.00054906	-3.88199534
0.26009948	0.00014547	0.00055930	-3.84468281
0.26259947	0.00014958	0.00056963	-3.80808073
0.26509947	0.00015377	0.00058004	-3.77216899
0.26759946	0.00015803	0.00059054	-3.73692825
0.27009946	0.00016236	0.00060112	-3.70233987
0.27259945	0.00016677	0.00061179	-3.66838591
0.27509945	0.00017126	0.00062255	-3.63504907
0.27759944	0.00017583	0.00063339	-3.60231268
0.28009944	0.00018047	0.00064431	-3.57016065
0.28259943	0.00018519	0.00065531	-3.53857749
0.28509943	0.00018999	0.00066640	-3.50754823
0.28759942	0.00019487	0.00067758	-3.47705841
0.29009942	0.00019983	0.00068884	-3.44709410
0.29259941	0.00020487	0.00070018	-3.41764183
0.29509941	0.00020999	0.00071160	-3.38868858
0.29759940	0.00021519	0.00072310	-3.36022177
0.30009940	0.00022048	0.00073469	-3.33222925
0.30259939	0.00022585	0.00074636	-3.30469927
0.30509939	0.00023130	0.00075811	-3.27762045
0.30759938	0.00023683	0.00076994	-3.25098179
0.31009938	0.00024245	0.00078186	-3.22477265
0.31259937	0.00024816	0.00079385	-3.19898272
0.31509937	0.00025395	0.00080593	-3.17360203
0.31759936	0.00025982	0.00081809	-3.14862090
0.32009936	0.00026579	0.00083033	-3.12402999
0.32259935	0.00027184	0.00084264	-3.09982021
0.32509935	0.00027797	0.00085504	-3.07598277
0.32759934	0.00028420	0.00086752	-3.05250916
0.33009934	0.00029051	0.00088008	-3.02939109
0.33259933	0.00029692	0.00089271	-3.00662056
0.33509933	0.00030341	0.00090543	-2.98418979
0.33759932	0.00030999	0.00091822	-2.96209123
0.34009932	0.00031667	0.00093110	-2.94031755
0.34259931	0.00032343	0.00094405	-2.91886164
0.34509931	0.00033029	0.00095708	-2.89771660
0.34759930	0.00033724	0.00097019	-2.87687572
0.35009930	0.00034428	0.00098337	-2.85633247
0.35259929	0.00035141	0.00099664	-2.83608054
0.35509929	0.00035864	0.00100998	-2.81611377
0.35759928	0.00036597	0.00102340	-2.79642617
0.36009928	0.00037338	0.00103689	-2.77701194
0.36259927	0.00038090	0.00105046	-2.75786541
0.36509927	0.00038851	0.00106411	-2.73898110
0.36759926	0.00039621	0.00107783	-2.72035364
0.37009926	0.00040401	0.00109163	-2.70197784
0.37259925	0.00041191	0.00110551	-2.68384863
0.37509925	0.00041991	0.00111946	-2.66596108
0.37759924	0.00042800	0.00113349	-2.64831038
0.38009924	0.00043620	0.00114759	-2.63089187
0.38259923	0.00044449	0.00116177	-2.61370099
0.38509923	0.00045288	0.00117602	-2.59673331
0.38759922	0.00046138	0.00119035	-2.57998452
0.39009922	0.00046997	0.00120475	-2.56345040
0.39259921	0.00047866	0.00121922	-2.54712685
0.39509921	0.00048746	0.00123377	-2.53100987
0.39759920	0.00049636	0.00124839	-2.51509557
0.40009920	0.00050536	0.00126309	-2.49938015
0.40259919	0.00051446	0.00127785	-2.48385991
0.40509919	0.00052367	0.00129270	-2.46853123
0.40759918	0.00053298	0.00130761	-2.45339058
0.41009918	0.00054240	0.00132260	-2.43843453
0.41259917	0.00055192	0.00133766	-2.42365972
0.41509917	0.00056154	0.00135279	-2.40906288
0.41759916	0.00057127	0.00136799	-2.39464080
0.42009916	0.00058111	0.00138327	-2.38039038
0.42259915	0.00059105	0.00139861	-2.36630856
0.42509915	0.00060110	0.00141403	-2.35239238
0.42759914	0.00061126	0.00142952	-2.33863891
0.43009914	0.00062153	0.00144508	-2.32504534
0.43259913	0.00063190	0.00146071	-2.31160888
0.43509913	0.00064239	0.00147641	-2.29832682
0.43759912	0.00065298	0.00149218	-2.28519653
0.44009912	0.00066368	0.00150802	-2.27221540
0.44259911	0.00067449	0.00152393	-2.25938093
0.44509911	0.00068541	0.00153991	-2.24669063
0.44759910	0.00069645	0.00155596	-2.23414209
0.45009910	0.00070759	0.00157208	-2.22173295
0.45259909	0.00071885	0.00158827	-2.20946089
0.45509909	0.00073022	0.00160453	-2.19732366
0.45759908	0.00074170	0.00162085	-2.18531905
0.46009908	0.00075330	0.00163725	-2.17344490
0.46259907	0.00076500	0.00165371	-2.16169909
0.46509907	0.00077683	0.00167024	-2.15007955
0.46759906	0.00078876	0.00168684	-2.13858426
0.47009906	0.00080081	0.00170350	-2.12721123
0.47259905	0.00081298	0.00172024	-2.11595853
0.47509905	0.00082526	0.00173703	-2.10482425
0.47759904	0.00083766	0.00175390	-2.09380653
0.48009904	0.00085018	0.00177083	-2.08290356
0.48259903	0.00086281	0.00178783	-2.07211355
0.48509903	0.00087556	0.00180490	-2.06143475
0.48759902	0.00088842	0.00182203	-2.05086546
0.49009902	0.00090141	0.00183923	-2.04040400
0.49259901	0.00091451	0.00185650	-2.03004872
0.49509901	0.00092773	0.00187382	-2.01979802
0.49759900	0.00094107	0.00189122	-2.00965032
0.50009900	0.00095453	0.00190868	-1.99960408
0.50259899	0.00096811	0.00192620	-1.98965778
0.50509899	0.00098181	0.00194379	-1.97980994
0.50759898	0.00099563	0.00196145	-1.97005910
0.51009898	0.00100957	0.00197917	-1.96040384
0.51259897	0.00102363	0.00199695	-1.95084276
0.51509897	0.00103782	0.00201480	-1.94137449
0.51759896	0.00105213	0.00203271	-1.93199768
0.52009896	0.00106656	0.00205068	-1.92271102
0.52259895	0.00108111	0.00206872	-1.91351320
0.52509895	0.00109579	0.00208682	-1.90440297
0.52759894	0.00111058	0.00210498	-1.89537907
0.53009894	0.00112551	0.00212321	-1.88644029
0.53259893	0.00114056	0.00214149	-1.87758543
0.53509893	0.00115573	0.00215984	-1.86881331
0.53759892	0.00117103	0.00217826	-1.86012277
0.54009892	0.00118645	0.00219673	-1.85151268
0.54259891	0.00120200	0.00221527	-1.84298194
0.54509891	0.00121768	0.00223387	-1.83452944
0.54759890	0.00123348	0.00225253	-1.82615413
0.55009890	0.00124941	0.00227125	-1.81785493
0.55259889	0.00126547	0.00229003	-1.80963084
0.55509889	0.00128165	0.00230887	-1.80148081
0.55759888	0.00129796	0.00232777	-1.79340387
0.56009888	0.00131441	0.00234674	-1.78539904
0.56259887	0.00133097	0.00236576	-1.77746534
0.56509887	0.00134767	0.00238485	-1.76960184
0.56759886	0.00136450	0.00240399	-1.76180761
0.57009886	0.00138146	0.00242319	-1.75408174
0.57259885	0.00139855	0.00244246	-1.74642333
0.57509885	0.00141577	0.00246178	-1.73883151
0.57759884	0.00143311	0.00248116	-1.73130540
0.58009884	0.00145059	0.00250060	-1.72384416
0.58259883	0.00146821	0.00252010	-1.71644696
0.58509883	0.00148595	0.00253965	-1.70911297
0.58759882	0.00150382	0.00255927	-1.70184139
0.59009882	0.00152183	0.00257894	-1.69463142
0.59259881	0.00153997	0.00259867	-1.68748228
0.59509881	0.00155824	0.00261846	-1.68039321
0.59759880	0.00157665	0.00263831	-1.67336345
0.60009880	0.00159519	0.00265822	-1.66639227
0.60259879	0.00161387	0.00267818	-1.65947892
0.60509879	0.00163267	0.00269820	-1.65262271
0.60759878	0.00165162	0.00271827	-1.64582291
0.61009878	0.00167070	0.00273840	-1.63907884
0.61259877	0.00168991	0.00275859	-1.63238981
0.61509877	0.00170926	0.00277884	-1.62575516
0.61759876	0.00172874	0.00279914	-1.61917422
0.62009876	0.00174836	0.00281949	-1.61264635
0.62259875	0.00176812	0.00283991	-1.60617090
0.62509875	0.00178802	0.00286037	-1.59974724
0.62759874	0.00180805	0.00288090	-1.59337476
0.63009874	0.00182822	0.00290148	-1.58705285
0.63259873	0.00184852	0.00292211	-1.58078090
0.63509873	0.00186897	0.00294280	-1.57455834
0.63759872	0.00188955	0.00296354	-1.56838457
0.64009872	0.00191027	0.00298434	-1.56225902
0.64259871	0.00193113	0.00300519	-1.55618114
0.64509871	0.00195213	0.00302609	-1.55015036
0.64759870	0.00197327	0.00304705	-1.54416615
0.65009870	0.00199455	0.00306807	-1.53822796
0.65259869	0.00201597	0.00308913	-1.53233527
0.65509869	0.00203752	0.00311026	-1.52648756
0.65759868	0.00205922	0.00313143	-1.52068431
0.66009868	0.00208106	0.00315266	-1.51492501
0.66259867	0.00210304	0.00317393	-1.50920918
0.66509867	0.00212517	0.00319527	-1.50353631
0.66759866	0.00214743	0.00321665	-1.49790593
0.67009866	0.00216984	0.00323809	-1.49231756
0.67259865	0.00219239	0.00325958	-1.48677074
0.67509865	0.00221508	0.00328112	-1.48126500
0.67759864	0.00223791	0.00330271	-1.47579988
0.68009864	0.00226089	0.00332435	-1.47037494
0.68259863	0.00228401	0.00334605	-1.46498974
0.68509863	0.00230727	0.00336780	-1.45964385
0.68759862	0.00233068	0.00338959	-1.45433682
0.69009862	0.00235423	0.00341144	-1.44906825
0.69259861	0.00237793	0.00343334	-1.44383771
0.69509861	0.00240177	0.00345529	-1.43864480
0.69759860	0.00242575	0.00347729	-1.43348911
0.70009860	0.00244989	0.00349934	-1.42837023
0.70259859	0.00247416	0.00352144	-1.42328779
0.70509859	0.00249858	0.00354359	-1.41824138
0.70759858	0.00252315	0.00356579	-1.41323064
0.71009858	0.00254787	0.00358804	-1.40825517
0.71259857	0.00257273	0.00361034	-1.40331462
0.71509857	0.00259773	0.00363269	-1.39840861
0.71759856	0.00262289	0.00365509	-1.39353679
0.72009856	0.00264819	0.00367753	-1.38869879
0.72259855	0.00267364	0.00370003	-1.38389427
0.72509855	0.00269923	0.00372257	-1.37912288
0.72759854	0.00272498	0.00374516	-1.37438428
0.73009854	0.00275087	0.00376780	-1.36967813
0.73259853	0.00277691	0.00379049	-1.36500409
0.73509853	0.00280310	0.00381323	-1.36036186
0.73759852	0.00282943	0.00383601	-1.35575108
0.74009852	0.00285592	0.00385884	-1.35117146
0.74259851	0.00288256	0.00388172	-1.34662268
0.74509851	0.00290934	0.00390464	-1.34210442
0.74759850	0.00293628	0.00392761	-1.33761637
0.75009850	0.00296336	0.00395063	-1.33315825
0.75259849	0.00299060	0.00397370	-1.32872974
0.75509849	0.00301798	0.00399681	-1.32433055
0.75759848	0.00304552	0.00401997	-1.31996040
0.76009848	0.00307321	0.00404317	-1.31561900
0.76259847	0.00310105	0.00406642	-1.31130606
0.76509847	0.00312904	0.00408972	-1.30702130
0.76759846	0.00315718	0.00411306	-1.30276446
0.77009846	0.00318547	0.00413644	-1.29853525
0.77259845	0.00321391	0.00415988	-1.29433342
0.77509845	0.00324251	0.00418335	-1.29015869
0.77759844	0.00327126	0.00420688	-1.28601080
0.78009844	0.00330016	0.00423044	-1.28188950
0.78259843	0.00332922	0.00425405	-1.27779453
0.78509843	0.00335842	0.00427771	-1.27372564
0.78759842	0.00338778	0.00430141	-1.26968258
0.79009842	0.00341730	0.00432516	-1.26566511
