# l = 1
# n = 2
# E = -0.12499976
# r	u(r)	R(r)	V(r)
0.31509937	0.01731282	0.05494399	-3.17360203
0.31759936	0.01756665	0.05531073	-3.14862090
0.32009936	0.01782200	0.05567647	-3.12402999
0.32259935	0.01807886	0.05604121	-3.09982021
0.32509935	0.01833721	0.05640496	-3.07598277
0.32759934	0.01859706	0.05676770	-3.05250916
0.33009934	0.01885840	0.05712946	-3.02939109
0.33259933	0.01912121	0.05749022	-3.00662056
0.33509933	0.01938549	0.05784999	-2.98418979
0.33759932	0.01965124	0.05820877	-2.96209123
0.34009932	0.01991845	0.05856656	-2.94031755
0.34259931	0.02018711	0.05892337	-2.91886164
0.34509931	0.02045721	0.05927920	-2.89771660
0.34759930	0.02072875	0.05963404	-2.87687572
0.35009930	0.02100173	0.05998791	-2.85633247
0.35259929	0.02127612	0.06034080	-2.83608054
0.35509929	0.02155194	0.06069271	-2.81611377
0.35759928	0.02182917	0.06104366	-2.79642617
0.36009928	0.02210780	0.06139363	-2.77701194
0.36259927	0.02238783	0.06174263	-2.75786541
0.36509927	0.02266925	0.06209066	-2.73898110
0.36759926	0.02295206	0.06243772	-2.72035364
0.37009926	0.02323625	0.06278383	-2.70197784
0.37259925	0.02352181	0.06312897	-2.68384863
0.37509925	0.02380873	0.06347315	-2.66596108
0.37759924	0.02409701	0.06381637	-2.64831038
0.38009924	0.02438665	0.06415863	-2.63089187
0.38259923	0.02467763	0.06449994	-2.61370099
0.38509923	0.02496995	0.06484030	-2.59673331
0.38759922	0.02526360	0.06517970	-2.57998452
0.39009922	0.02555858	0.06551816	-2.56345040
0.39259921	0.02585488	0.06585567	-2.54712685
0.39509921	0.02615250	0.06619224	-2.53100987
0.39759920	0.02645142	0.06652786	-2.51509557
0.40009920	0.02675165	0.06686253	-2.49938015
0.40259919	0.02705317	0.06719627	-2.48385991
0.40509919	0.02735597	0.06752907	-2.46853123
0.40759918	0.02766006	0.06786094	-2.45339058
0.41009918	0.02796543	0.06819187	-2.43843453
0.41259917	0.02827206	0.06852186	-2.42365972
0.41509917	0.02857996	0.06885093	-2.40906288
0.41759916	0.02888912	0.06917907	-2.39464080
0.42009916	0.02919953	0.06950628	-2.38039038
0.42259915	0.02951118	0.06983256	-2.36630856
0.42509915	0.02982407	0.07015792	-2.35239238
0.42759914	0.03013820	0.07048236	-2.33863891
0.43009914	0.03045355	0.07080588	-2.32504534
0.43259913	0.03077012	0.07112848	-2.31160888
0.43509913	0.03108790	0.07145016	-2.29832682
0.43759912	0.03140690	0.07177093	-2.28519653
0.44009912	0.03172709	0.07209079	-2.27221540
0.44259911	0.03204848	0.07240973	-2.25938093
0.44509911	0.03237107	0.07272777	-2.24669063
0.44759910	0.03269483	0.07304490	-2.23414209
0.45009910	0.03301977	0.07336112	-2.22173295
0.45259909	0.03334589	0.07367644	-2.20946089
0.45509909	0.03367317	0.07399085	-2.19732366
0.45759908	0.03400161	0.07430437	-2.18531905
0.46009908	0.03433121	0.07461699	-2.17344490
0.46259907	0.03466195	0.07492871	-2.16169909
0.46509907	0.03499384	0.07523953	-2.15007955
0.46759906	0.03532686	0.07554946	-2.13858426
0.47009906	0.03566101	0.07585850	-2.12721123
0.47259905	0.03599629	0.07616665	-2.11595853
0.47509905	0.03633268	0.07647391	-2.10482425
0.47759904	0.03667019	0.07678029	-2.09380653
0.48009904	0.03700881	0.07708578	-2.08290356
0.48259903	0.03734852	0.07739038	-2.07211355
0.48509903	0.03768934	0.07769411	-2.06143475
0.48759902	0.03803124	0.07799695	-2.05086546
0.49009902	0.03837422	0.07829892	-2.04040400
