# l = 3
# n = 4
# E = -0.03124899
# r	u(r)	R(r)	V(r)
0.00010000	0.00000000	0.00000000	-10000.00000000
0.00259999	0.00000000	0.00000000	-384.61612426
0.00509999	0.00000000	0.00000000	-196.07881584
0.00759998	0.00000000	0.00000000	-131.57920706
0.01009998	0.00000000	0.00000000	-99.01009705
0.01259997	0.00000000	0.00000000	-79.36523684
0.01509997	0.00000000	0.00000000	-66.22529714
0.01759996	0.00000000	0.00000000	-56.81829481
0.02009996	0.00000000	0.00000000	-49.75134279
0.02259995	0.00000000	0.00000000	-44.24787571
0.02509995	0.00000000	0.00000000	-39.84071681
0.02759994	0.00000000	0.00000000	-36.23195626
0.03009994	0.00000000	0.00000001	-33.22265759
0.03259993	0.00000000	0.00000001	-30.67490779
0.03509993	0.00000000	0.00000001	-28.49008531
0.03759992	0.00000000	0.00000001	-26.59579773
0.04009992	0.00000000	0.00000001	-24.93770561
0.04259991	0.00000000	0.00000002	-23.47422524
0.04509991	0.00000000	0.00000002	-22.17299325
0.04759990	0.00000000	0.00000002	-21.00844529
0.05009990	0.00000000	0.00000003	-19.96011968
0.05259989	0.00000000	0.00000003	-19.01144479
0.05509989	0.00000000	0.00000004	-18.14885656
0.05759988	0.00000000	0.00000004	-17.36114577
0.06009988	0.00000000	0.00000005	-16.63896833
0.06259987	0.00000000	0.00000005	-15.97447279
0.06509987	0.00000000	0.00000006	-15.36101378
0.06759986	0.00000000	0.00000007	-14.79292895
0.07009986	0.00000001	0.00000007	-14.26536373
0.07259985	0.00000001	0.00000008	-13.77413219
0.07509985	0.00000001	0.00000009	-13.31560582
0.07759984	0.00000001	0.00000010	-12.88662368
0.08009984	0.00000001	0.00000011	-12.48441944
0.08259983	0.00000001	0.00000012	-12.10656171
0.08509983	0.00000001	0.00000013	-11.75090479
0.08759982	0.00000001	0.00000014	-11.41554792
0.09009982	0.00000001	0.00000016	-11.09880131
0.09259981	0.00000002	0.00000017	-10.79915764
0.09509981	0.00000002	0.00000018	-10.51526812
0.09759980	0.00000002	0.00000020	-10.24592211
0.10009980	0.00000002	0.00000022	-9.99002995
0.10259979	0.00000002	0.00000023	-9.74660817
0.10509979	0.00000003	0.00000025	-9.51476687
0.10759978	0.00000003	0.00000027	-9.29369887
0.11009978	0.00000003	0.00000029	-9.08267028
0.11259977	0.00000003	0.00000031	-8.88101242
0.11509977	0.00000004	0.00000033	-8.68811467
0.11759976	0.00000004	0.00000035	-8.50341835
0.12009976	0.00000004	0.00000037	-8.32641131
0.12259975	0.00000005	0.00000039	-8.15662315
0.12509975	0.00000005	0.00000042	-7.99362109
0.12759974	0.00000006	0.00000044	-7.83700626
0.13009974	0.00000006	0.00000047	-7.68641044
0.13259973	0.00000007	0.00000050	-7.54149320
0.13509973	0.00000007	0.00000052	-7.40193929
0.13759972	0.00000008	0.00000055	-7.26745638
0.14009972	0.00000008	0.00000058	-7.13777301
0.14259971	0.00000009	0.00000062	-7.01263674
0.14509971	0.00000009	0.00000065	-6.89181253
0.14759970	0.00000010	0.00000068	-6.77508129
0.15009970	0.00000011	0.00000072	-6.66223850
0.15259969	0.00000011	0.00000075	-6.55309305
0.15509969	0.00000012	0.00000079	-6.44746614
0.15759968	0.00000013	0.00000083	-6.34519035
0.16009968	0.00000014	0.00000087	-6.24610867
0.16259967	0.00000015	0.00000091	-6.15007379
0.16509967	0.00000016	0.00000095	-6.05694730
0.16759966	0.00000017	0.00000099	-5.96659904
0.17009966	0.00000018	0.00000104	-5.87890652
0.17259965	0.00000019	0.00000108	-5.79375434
0.17509965	0.00000020	0.00000113	-5.71103369
0.17759964	0.00000021	0.00000118	-5.63064189
0.18009964	0.00000022	0.00000123	-5.55248195
0.18259963	0.00000023	0.00000128	-5.47646221
0.18509963	0.00000025	0.00000133	-5.40249594
0.18759962	0.00000026	0.00000139	-5.33050106
0.19009962	0.00000027	0.00000144	-5.26039978
0.19259961	0.00000029	0.00000150	-5.19211837
0.19509961	0.00000030	0.00000156	-5.12558687
0.19759960	0.00000032	0.00000162	-5.06073886
0.20009960	0.00000034	0.00000168	-4.99751124
0.20259959	0.00000035	0.00000174	-4.93584402
0.20509959	0.00000037	0.00000180	-4.87568015
0.20759958	0.00000039	0.00000187	-4.81696531
0.21009958	0.00000041	0.00000194	-4.75964778
