0.001000 1.000000 -0.685157
0.001999 0.999315 -0.686156
0.002998 0.998629 -0.687154
0.003997 0.997942 -0.688151
0.004996 0.997254 -0.689148
0.005995 0.996565 -0.690144
0.006994 0.995875 -0.691139
0.007993 0.995184 -0.692133
0.008992 0.994492 -0.693127
0.009991 0.993799 -0.694120
0.010990 0.993106 -0.695112
0.011989 0.992411 -0.696104
0.012988 0.991715 -0.697095
0.013987 0.991018 -0.698085
0.014986 0.990320 -0.699075
0.015985 0.989621 -0.700063
0.016984 0.988921 -0.701051
0.017983 0.988220 -0.702039
0.018982 0.987518 -0.703025
0.019981 0.986816 -0.704011
0.020980 0.986112 -0.704996
0.021979 0.985407 -0.705980
0.022978 0.984701 -0.706964
0.023977 0.983995 -0.707947
0.024976 0.983287 -0.708929
0.025975 0.982578 -0.709910
0.026974 0.981868 -0.710891
0.027973 0.981158 -0.711871
0.028972 0.980446 -0.712850
0.029971 0.979734 -0.713828
0.030970 0.979020 -0.714805
0.031969 0.978305 -0.715782
0.032968 0.977590 -0.716758
0.033967 0.976873 -0.717733
0.034966 0.976156 -0.718708
0.035965 0.975437 -0.719681
0.036964 0.974718 -0.720654
0.037963 0.973997 -0.721626
0.038962 0.973276 -0.722597
0.039961 0.972554 -0.723568
0.040960 0.971830 -0.724537
0.041959 0.971106 -0.725506
0.042958 0.970381 -0.726474
0.043957 0.969655 -0.727441
0.044956 0.968927 -0.728408
0.045955 0.968199 -0.729373
0.046954 0.967470 -0.730338
0.047953 0.966740 -0.731302
0.048952 0.966009 -0.732265
0.049951 0.965277 -0.733228
0.050950 0.964544 -0.734189
0.051949 0.963810 -0.735150
0.052948 0.963075 -0.736109
0.053947 0.962339 -0.737068
0.054946 0.961602 -0.738027
0.055945 0.960865 -0.738984
0.056944 0.960126 -0.739940
0.057943 0.959386 -0.740896
0.058942 0.958646 -0.741851
0.059941 0.957904 -0.742805
0.060940 0.957161 -0.743758
0.061939 0.956418 -0.744710
0.062938 0.955673 -0.745661
0.063937 0.954928 -0.746612
0.064936 0.954182 -0.747562
0.065935 0.953434 -0.748510
0.066934 0.952686 -0.749458
0.067933 0.951937 -0.750405
0.068932 0.951187 -0.751351
0.069931 0.950436 -0.752297
0.070930 0.949684 -0.753241
0.071929 0.948931 -0.754185
0.072928 0.948177 -0.755127
0.073927 0.947422 -0.756069
0.074926 0.946666 -0.757010
0.075925 0.945910 -0.757950
0.076924 0.945152 -0.758889
0.077923 0.944393 -0.759827
0.078922 0.943634 -0.760764
0.079921 0.942873 -0.761701
0.080920 0.942112 -0.762636
0.081919 0.941350 -0.763571
0.082918 0.940586 -0.764504
0.083917 0.939822 -0.765437
0.084916 0.939057 -0.766369
0.085915 0.938291 -0.767300
0.086914 0.937524 -0.768230
0.087913 0.936756 -0.769159
0.088912 0.935987 -0.770087
0.089911 0.935217 -0.771014
0.090910 0.934447 -0.771940
0.091909 0.933675 -0.772866
0.092908 0.932902 -0.773790
0.093907 0.932129 -0.774714
0.094906 0.931355 -0.775636
0.095905 0.930579 -0.776558
0.096904 0.929803 -0.777478
0.097903 0.929026 -0.778398
0.098902 0.928248 -0.779317
0.099901 0.927469 -0.780235
0.100900 0.926689 -0.781151
0.101899 0.925908 -0.782067
0.102898 0.925126 -0.782982
0.103897 0.924344 -0.783896
0.104896 0.923560 -0.784809
0.105895 0.922776 -0.785721
0.106894 0.921990 -0.786632
0.107893 0.921204 -0.787542
0.108892 0.920417 -0.788451
0.109891 0.919629 -0.789359
0.110890 0.918840 -0.790266
0.111889 0.918050 -0.791173
0.112888 0.917259 -0.792078
0.113887 0.916467 -0.792982
0.114886 0.915674 -0.793885
0.115885 0.914881 -0.794787
0.116884 0.914086 -0.795689
0.117883 0.913291 -0.796589
0.118882 0.912495 -0.797488
0.119881 0.911698 -0.798386
0.120880 0.910900 -0.799283
0.121879 0.910101 -0.800179
0.122878 0.909301 -0.801075
0.123877 0.908500 -0.801969
0.124876 0.907699 -0.802862
0.125875 0.906896 -0.803754
0.126874 0.906093 -0.804645
0.127873 0.905288 -0.805535
0.128872 0.904483 -0.806424
0.129871 0.903677 -0.807313
0.130870 0.902870 -0.808200
0.131869 0.902062 -0.809086
0.132868 0.901254 -0.809971
0.133867 0.900444 -0.810854
0.134866 0.899633 -0.811737
0.135865 0.898822 -0.812619
0.136864 0.898010 -0.813500
0.137863 0.897197 -0.814380
0.138862 0.896383 -0.815259
0.139861 0.895568 -0.816136
0.140860 0.894752 -0.817013
0.141859 0.893936 -0.817889
0.142858 0.893118 -0.818763
0.143857 0.892300 -0.819637
0.144856 0.891480 -0.820509
0.145855 0.890660 -0.821380
0.146854 0.889839 -0.822251
0.147853 0.889017 -0.823120
0.148852 0.888195 -0.823988
0.149851 0.887371 -0.824855
0.150850 0.886547 -0.825721
0.151849 0.885721 -0.826586
0.152848 0.884895 -0.827450
0.153847 0.884068 -0.828313
0.154846 0.883240 -0.829175
0.155845 0.882411 -0.830035
0.156844 0.881582 -0.830895
0.157843 0.880751 -0.831753
0.158842 0.879920 -0.832611
0.159841 0.879088 -0.833467
0.160840 0.878255 -0.834322
0.161839 0.877421 -0.835177
0.162838 0.876586 -0.836030
0.163837 0.875750 -0.836882
0.164836 0.874914 -0.837732
0.165835 0.874076 -0.838582
0.166834 0.873238 -0.839431
0.167833 0.872399 -0.840278
0.168832 0.871559 -0.841125
0.169831 0.870719 -0.841970
0.170830 0.869877 -0.842814
0.171829 0.869035 -0.843657
0.172828 0.868191 -0.844499
0.173827 0.867347 -0.845340
0.174826 0.866503 -0.846180
0.175825 0.865657 -0.847019
0.176824 0.864810 -0.847856
0.177823 0.863963 -0.848692
0.178822 0.863115 -0.849528
0.179821 0.862266 -0.850362
0.180820 0.861416 -0.851195
0.181819 0.860565 -0.852027
0.182818 0.859713 -0.852857
0.183817 0.858861 -0.853687
0.184816 0.858008 -0.854515
0.185815 0.857154 -0.855343
0.186814 0.856299 -0.856169
0.187813 0.855443 -0.856994
0.188812 0.854586 -0.857818
0.189811 0.853729 -0.858640
0.190810 0.852871 -0.859462
0.191809 0.852012 -0.860282
0.192808 0.851152 -0.861102
0.193807 0.850291 -0.861920
0.194806 0.849430 -0.862737
0.195805 0.848568 -0.863553
0.196804 0.847705 -0.864367
0.197803 0.846841 -0.865181
0.198802 0.845976 -0.865993
0.199801 0.845110 -0.866804
0.200800 0.844244 -0.867614
0.201799 0.843377 -0.868423
0.202798 0.842509 -0.869231
0.203797 0.841640 -0.870037
0.204796 0.840771 -0.870842
0.205795 0.839900 -0.871646
0.206794 0.839029 -0.872449
0.207793 0.838157 -0.873251
0.208792 0.837284 -0.874052
0.209791 0.836411 -0.874851
0.210790 0.835536 -0.875649
0.211789 0.834661 -0.876446
0.212788 0.833785 -0.877242
0.213787 0.832908 -0.878037
0.214786 0.832031 -0.878830
0.215785 0.831153 -0.879623
0.216784 0.830273 -0.880414
0.217783 0.829394 -0.881203
0.218782 0.828513 -0.881992
0.219781 0.827631 -0.882780
0.220780 0.826749 -0.883566
0.221779 0.825866 -0.884351
0.222778 0.824982 -0.885135
0.223777 0.824097 -0.885917
0.224776 0.823212 -0.886699
0.225775 0.822326 -0.887479
0.226774 0.821439 -0.888258
0.227773 0.820551 -0.889036
0.228772 0.819663 -0.889812
0.229771 0.818773 -0.890588
0.230770 0.817883 -0.891362
0.231769 0.816992 -0.892135
0.232768 0.816101 -0.892907
0.233767 0.815208 -0.893677
0.234766 0.814315 -0.894446
0.235765 0.813421 -0.895214
0.236764 0.812526 -0.895981
0.237763 0.811631 -0.896747
0.238762 0.810735 -0.897511
