# l = 0
# n = 1
# E = -0.49999918
# r	u(r)	R(r)	V(r)
0.00010000	0.00019946	1.99459916	-10000.00000000
0.00259999	0.00518595	1.99459916	-384.61612426
0.00509999	0.01014754	1.98971779	-196.07881584
0.00759998	0.01508433	1.98478365	-131.57920706
0.01009998	0.01999640	1.97984507	-99.01009705
0.01259997	0.02488384	1.97491204	-79.36523684
0.01509997	0.02974676	1.96998790	-66.22529714
0.01759996	0.03458524	1.96507409	-56.81829481
0.02009996	0.03939936	1.96017131	-49.75134279
0.02259995	0.04418924	1.95527995	-44.24787571
0.02509995	0.04895495	1.95040023	-39.84071681
0.02759994	0.05369658	1.94553226	-36.23195626
0.03009994	0.05841424	1.94067614	-33.22265759
0.03259993	0.06310799	1.93583189	-30.67490779
0.03509993	0.06777795	1.93099955	-28.49008531
0.03759992	0.07242419	1.92617911	-26.59579773
0.04009992	0.07704681	1.92137059	-24.93770561
0.04259991	0.08164589	1.91657397	-23.47422524
0.04509991	0.08622152	1.91178924	-22.17299325
0.04759990	0.09077380	1.90701638	-21.00844529
0.05009990	0.09530280	1.90225538	-19.96011968
0.05259989	0.09980863	1.89750621	-19.01144479
0.05509989	0.10429136	1.89276886	-18.14885656
0.05759988	0.10875108	1.88804329	-17.36114577
0.06009988	0.11318788	1.88332949	-16.63896833
0.06259987	0.11760184	1.87862742	-15.97447279
0.06509987	0.12199306	1.87393707	-15.36101378
0.06759986	0.12636162	1.86925841	-14.79292895
0.07009986	0.13070760	1.86459140	-14.26536373
0.07259985	0.13503109	1.85993603	-13.77413219
0.07509985	0.13933217	1.85529227	-13.31560582
0.07759984	0.14361094	1.85066008	-12.88662368
0.08009984	0.14786746	1.84603944	-12.48441944
0.08259983	0.15210184	1.84143033	-12.10656171
0.08509983	0.15631415	1.83683272	-11.75090479
0.08759982	0.16050448	1.83224657	-11.41554792
0.09009982	0.16467291	1.82767187	-11.09880131
0.09259981	0.16881952	1.82310857	-10.79915764
0.09509981	0.17294439	1.81855667	-10.51526812
0.09759980	0.17704762	1.81401612	-10.24592211
0.10009980	0.18112928	1.80948690	-9.99002995
0.10259979	0.18518945	1.80496898	-9.74660817
0.10509979	0.18922821	1.80046234	-9.51476687
0.10759978	0.19324566	1.79596694	-9.29369887
0.11009978	0.19724186	1.79148276	-9.08267028
0.11259977	0.20121690	1.78700977	-8.88101242
0.11509977	0.20517086	1.78254795	-8.68811467
